dataset,cluster,model,selection_method,opt_metric,n_features_selected,features_percent,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
kr-vs-kp,C0,DT,attention,log_loss,7,0.2,0.9438002054565195,0.012823182150911236,0.9449392633228839,0.013162085457421369
kr-vs-kp,C0,DT,attention,log_loss,10,0.3,0.9419658195328046,0.012065811495823392,0.9424373040752352,0.012394571692599344
kr-vs-kp,C0,DT,decision_tree,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
kr-vs-kp,C0,DT,decision_tree,log_loss,7,0.2,0.9552525267951669,0.01319578096190672,0.9546385188087774,0.01334172384850125
kr-vs-kp,C0,DT,decision_tree,log_loss,10,0.3,0.9778999754727307,0.011930759135425222,0.9774764890282132,0.012304606286529502
kr-vs-kp,C0,DT,f_classif,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
kr-vs-kp,C0,DT,f_classif,log_loss,7,0.2,0.9411245840471196,0.011641643405150379,0.9424363244514107,0.011950151222175926
kr-vs-kp,C0,DT,f_classif,log_loss,10,0.3,0.9439717269614848,0.009916133814132616,0.9433699059561128,0.01044561470980969
kr-vs-kp,C0,DT,linear_model,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
kr-vs-kp,C0,DT,linear_model,log_loss,7,0.2,0.9411245840471196,0.011641643405150379,0.9424363244514107,0.011950151222175926
kr-vs-kp,C0,DT,linear_model,log_loss,10,0.3,0.961325209906942,0.01060451269127564,0.9599627742946708,0.011064353709238348
kr-vs-kp,C0,DT,random,log_loss,3,0.1,0.5339097724019305,0.01226429878022527,0.5428693181818182,0.010602988230045183
kr-vs-kp,C0,DT,random,log_loss,7,0.2,0.7733996366251421,0.024901709398507086,0.7822394200626959,0.024511668050309895
kr-vs-kp,C0,DT,random,log_loss,10,0.3,0.7484796877703184,0.020625497192779767,0.7534531739811913,0.020147140578213152
kr-vs-kp,C0,DT,random_1,log_loss,3,0.1,0.6313084340538464,0.022855344233481085,0.6254663009404389,0.0233976100823004
kr-vs-kp,C0,DT,random_1,log_loss,7,0.2,0.5989193549874153,0.03644810167606253,0.6022776253918496,0.03650049047386617
kr-vs-kp,C0,DT,random_1,log_loss,10,0.3,0.7058302580870313,0.03313251545613482,0.709928487460815,0.03243683589327075
kr-vs-kp,C0,DT,random_2,log_loss,3,0.1,0.7432555039559683,0.019743534099864183,0.7546835815047022,0.018541580306874063
kr-vs-kp,C0,DT,random_2,log_loss,7,0.2,0.781937033588213,0.020899873862995026,0.7837901645768025,0.021455421758516405
